# z (m), U (m/s), V (m/s), M (m/s), Theta (K), Ri (1)
1.379331545889999973e+02, 8.156786077421317671e+00, 2.757466669127515146e+00, 8.610465314328010322e+00, 2.641649006337927403e+02, 2.232661741021645108e-01
1.395566947890000051e+02, 8.215075922625194593e+00, 2.730628010439174691e+00, 8.657206384755465223e+00, 2.641801560845279937e+02, 2.242232423340189962e-01
1.411888229840000122e+02, 8.273564270001365628e+00, 2.702300665097222332e+00, 8.703896000198719562e+00, 2.641957892127194896e+02, 2.251678690497457558e-01
1.428295846030000007e+02, 8.332228605520612064e+00, 2.672418095025587803e+00, 8.750511654928903482e+00, 2.642118200708515019e+02, 2.260994380657840030e-01
1.444790253140000118e+02, 8.391043104032972266e+00, 2.640909511265502552e+00, 8.797027999881034788e+00, 2.642282703288362882e+02, 2.270172411563257386e-01
1.461371910249999928e+02, 8.449978171407627414e+00, 2.607699527894732583e+00, 8.843416460188590733e+00, 2.642451634495059807e+02, 2.279204645892550229e-01
1.478041278910000074e+02, 8.508999912656680209e+00, 2.572707784056327718e+00, 8.889644790894470461e+00, 2.642625248875500006e+02, 2.288081735154402496e-01
1.494798823069999969e+02, 8.568069512137494570e+00, 2.535848531697837416e+00, 8.935676559153579390e+00, 2.642803823155777536e+02, 2.296792931949217520e-01
1.511645009140000013e+02, 8.627142509266574777e+00, 2.497030186610374791e+00, 8.981470538959889893e+00, 2.642987658817020247e+02, 2.305325870203129845e-01
1.528580306030000031e+02, 8.686167949263973398e+00, 2.456154840853014942e+00, 9.026980001109031093e+00, 2.643177085037622192e+02, 2.313666304669035056e-01
1.545605185089999907e+02, 8.745087384016082765e+00, 2.413117735255087215e+00, 9.072151877308559875e+00, 2.643372462062519617e+02, 2.321797796884685072e-01
1.562720120189999875e+02, 8.803833692705492098e+00, 2.367806691634955385e+00, 9.116925772655132931e+00, 2.643574185072040450e+02, 2.329701343122370094e-01
1.579925587689999986e+02, 8.862329684639384197e+00, 2.320101506211599940e+00, 9.161232794480682173e+00, 2.643782688635379827e+02, 2.337354923873782575e-01
1.597222066470000073e+02, 8.920486438048570221e+00, 2.269873308243622656e+00, 9.204994158039015772e+00, 2.643998451850394531e+02, 2.344732961255129866e-01
1.614610037969999894e+02, 8.978201317494217903e+00, 2.216983892018822289e+00, 9.248119519790343190e+00, 2.644222004289462689e+02, 2.351805662591680002e-01
1.632089986139999951e+02, 9.035355598629649876e+00, 2.161285036346647370e+00, 9.290504976831828188e+00, 2.644453932893597425e+02, 2.358538217830454808e-01
1.649662397520000070e+02, 9.091811611568061835e+00, 2.102617834645884809e+00, 9.332030655521053930e+00, 2.644694889982387735e+02, 2.364889823692189752e-01
1.667327761189999933e+02, 9.147409291836455125e+00, 2.040812072147917711e+00, 9.372557792463792836e+00, 2.644945602575877501e+02, 2.370812481466947619e-01
1.685086568860000114e+02, 9.201961999913741863e+00, 1.975685706515704965e+00, 9.411925185796370386e+00, 2.645206883255889920e+02, 2.376249524468500018e-01
1.702939314799999977e+02, 9.255251435158207585e+00, 1.907044537429120057e+00, 9.449944862561181935e+00, 2.645479642826397253e+02, 2.381133794707612772e-01
1.720886495919999959e+02, 9.307021426018922128e+00, 1.834682193885414758e+00, 9.486396767265802055e+00, 2.645764905062280263e+02, 2.385385396120914825e-01
1.738928611759999967e+02, 9.356970323925160926e+00, 1.758380632338730098e+00, 9.521022225280370677e+00, 2.646063823854012753e+02, 2.388908917790117381e-01
1.757066164469999876e+02, 9.404741662570881289e+00, 1.677911434002905100e+00, 9.553515871085419775e+00, 2.646377703051352910e+02, 2.391590009211367607e-01
1.775299658909999891e+02, 9.449912667245026654e+00, 1.593038331691082554e+00, 9.583515654028651909e+00, 2.646708019255457316e+02, 2.393291196532337517e-01
1.793629602560000080e+02, 9.491980114322455364e+00, 1.503521608406427568e+00, 9.610590444409567112e+00, 2.647056447663230188e+02, 2.393846816813277600e-01
1.812056505600000094e+02, 9.530342960437192090e+00, 1.409125325230670134e+00, 9.634224666934287029e+00, 2.647424890758545075e+02, 2.393057040669580027e-01
1.830580880930000092e+02, 9.564281109881301646e+00, 1.309628806096817311e+00, 9.653799304347355559e+00, 2.647815509041350310e+02, 2.390681104584569949e-01
1.849203244139999924e+02, 9.592929724718963769e+00, 1.204844501279049851e+00, 9.668568583861929966e+00, 2.648230751880504954e+02, 2.386430390239192567e-01
1.867924113560000023e+02, 9.615248719546482192e+00, 1.094645363609737077e+00, 9.677631772874466520e+00, 2.648673384625740255e+02, 2.379961038584522681e-01
1.886744010239999909e+02, 9.629987745904925234e+00, 9.790063070034937809e-01, 9.679899952151956199e+00, 2.649146504781459726e+02, 2.370882858544479943e-01
1.905663458010000113e+02, 9.635648479650676279e+00, 8.580662899917570474e-01, 9.674058765351688294e+00, 2.649653534505999914e+02, 2.358699146641687616e-01
1.924682983470000011e+02, 9.630449127506526708e+00, 7.322196246505212613e-01, 9.658530597972587728e+00, 2.650198168420987486e+02, 2.343162911405227422e-01
1.943803115990000094e+02, 9.612302286946363239e+00, 6.022494532086662966e-01, 9.631445057000590282e+00, 2.650784240361892898e+02, 2.323009654341094687e-01
1.963024387750000130e+02, 9.578825668564144635e+00, 4.695051552956350238e-01, 9.590633018674857624e+00, 2.651415471457817716e+02, 2.300669710291892434e-01
1.982347333740000010e+02, 9.527437810925121653e+00, 3.361684663921319927e-01, 9.533693466330337429e+00, 2.652094979606904985e+02, 2.268691656743604679e-01
2.001772491790000004e+02, 9.455536749495673021e+00, 2.054542077768745922e-01, 9.458120850242792699e+00, 2.652824691860479902e+02, 2.246864948574882614e-01
2.021300402560000009e+02, 9.361097858756110668e+00, 8.206864969436855617e-02, 9.361840849726858593e+00, 2.653604006526419994e+02, 2.193311200833620023e-01
2.040931609589999880e+02, 9.242877803191300146e+00, -2.821824984929567626e-02, 9.243336527538225766e+00, 2.654429767523152464e+02, 2.203345267046435130e-01
