# z (m), P_K (m^2/s^3), eps(m^2/s^3), G_K (m^2/s^3), D_K (m^2/s^3), P_Theta (K^2/s), eps_Theta (K^2/s), D_Theta (K^2/s)
1.237003743799999995e+02, 3.842711449303427319e-04, 3.071649710785115091e-04, -8.589763987231837392e-05, 7.087787444874827394e-06, 6.377827679190968958e-05, 6.426990236983813045e-05, 4.284917189353602518e-07
1.252486278330000005e+02, 3.642427458858672035e-04, 2.911343380655224836e-04, -8.145619930597333724e-05, 6.714092199839827225e-06, 6.146434637557165038e-05, 6.194776371630134905e-05, 4.196282128712679680e-07
1.268050710389999978e+02, 3.445081372683825218e-04, 2.753397015077329668e-04, -7.707199873308593274e-05, 6.341538290929102774e-06, 5.912985404756855579e-05, 5.960356476892500466e-05, 4.096765074731249514e-07
1.283697473199999877e+02, 3.250762734677167223e-04, 2.597882451292104957e-04, -7.274780226316856320e-05, 5.971005362316814734e-06, 5.677467787977275016e-05, 5.723720478361460021e-05, 3.986873187960899942e-07
1.299427002269999889e+02, 3.059568643056809764e-04, 2.444877633581379775e-04, -6.848653537167176690e-05, 5.603369796207055214e-06, 5.439869698376757908e-05, 5.484858542440824444e-05, 3.867136578695342494e-07
1.315239735389999964e+02, 2.871604682031494906e-04, 2.294467351894192292e-04, -6.429130658518375215e-05, 5.239505249228880440e-06, 5.200179648163820391e-05, 5.243761577311577878e-05, 3.738110217376315297e-07
1.331136112689999891e+02, 2.686986054146627326e-04, 2.146744144425587609e-04, -6.016543360916455586e-05, 4.880283132689998017e-06, 4.958387587800859960e-05, 5.000422081272902714e-05, 3.600373792648682696e-07
1.347116576619999933e+02, 2.505838971225547609e-04, 2.001809404184005123e-04, -5.611247503378109710e-05, 4.526573138305632107e-06, 4.714486247167867138e-05, 4.754835498301477074e-05, 3.454531692893152410e-07
1.363181571979999944e+02, 2.328302362157657571e-04, 1.859774741399892453e-04, -5.213626898752194371e-05, 4.179244053809186852e-06, 4.468473207319073137e-05, 4.507002317076172363e-05, 3.301212826053177350e-07
1.379331545889999973e+02, 2.154529990247507391e-04, 1.720763667409085128e-04, -4.824098056877507504e-05, 3.839165047323815156e-06, 4.220354046929863099e-05, 4.256931255962967278e-05, 3.141071706820139912e-07
1.395566947890000051e+02, 1.984693075697565017e-04, 1.584913689536172486e-04, -4.443116033116022232e-05, 3.507207168410567266e-06, 3.970147056646155446e-05, 4.004644061647709717e-05, 2.974787130114749978e-07
1.411888229840000122e+02, 1.818983583392929976e-04, 1.452378928324990059e-04, -4.071181689592997312e-05, 3.184245446111440571e-06, 3.717890266393537418e-05, 3.750182671746642214e-05, 2.803061979541227094e-07
1.428295846030000007e+02, 1.657618345482949999e-04, 1.323333404375869971e-04, -3.708850745517375562e-05, 2.871162174127745208e-06, 3.463651864293152446e-05, 3.493619879529959740e-05, 2.626623543668657588e-07
1.444790253140000118e+02, 1.500844268276072565e-04, 1.197975190603147680e-04, -3.356745119661685138e-05, 2.568850532272934981e-06, 3.207545645269937540e-05, 3.235075223038464450e-05, 2.446220963242977432e-07
1.461371910249999928e+02, 1.348944947267614967e-04, 1.076531669539537619e-04, -3.015567185136665306e-05, 2.278221348222622276e-06, 2.949753910406622404e-05, 2.974738625324529820e-05, 2.262626344230337591e-07
1.478041278910000074e+02, 1.202249024907312556e-04, 9.592662311302195782e-05, -2.686117705188587393e-05, 2.000207355781837274e-06, 2.690561391053742399e-05, 2.712905689713347612e-05, 2.076627709921910059e-07
1.494798823069999969e+02, 1.061140999903497479e-04, 8.464867144070202217e-05, -2.369318343614965045e-05, 1.735783931071830103e-06, 2.430405654983795253e-05, 2.450030129217277598e-05, 1.889038875429115072e-07
1.511645009140000013e+02, 9.260742053284521681e-05, 7.385562791977002997e-05, -2.066239659804232655e-05, 1.485952034318235051e-06, 2.169951082658254821e-05, 2.186802225474447604e-05, 1.700654625770922716e-07
1.528580306030000031e+02, 7.975890242347122695e-05, 6.359061790967804762e-05, -1.778135190806780176e-05, 1.251834219453107317e-06, 1.910198693205722285e-05, 1.924262236998194956e-05, 1.512349105573732310e-07
1.545605185089999907e+02, 6.763286013519939914e-05, 5.390530472089990024e-05, -1.506481255743674785e-05, 1.034509108872526955e-06, 1.652639346920332242e-05, 1.663969391459982369e-05, 1.324818898915267433e-07
1.562720120189999875e+02, 5.630713618014795670e-05, 4.486127638200209928e-05, -1.253019143046627506e-05, 8.354234138923058972e-07, 1.399476967306449799e-05, 1.408219364415029907e-05, 1.139159049891597768e-07
1.579925587689999986e+02, 4.587256193864172062e-05, 3.653242262718082572e-05, -1.019790598318192448e-05, 6.556417645125493836e-07, 1.153886204498297382e-05, 1.160354032114447417e-05, 9.558762693274872620e-08
1.597222066470000073e+02, 3.643867795718997273e-05, 2.900369916498967389e-05, -8.091432275287819699e-06, 4.971751958770264858e-07, 9.203467945837520060e-06, 9.250084808692521975e-06, 7.771831209760601695e-08
1.614610037969999894e+02, 2.812031166609630056e-05, 2.237195916198547608e-05, -6.236603151400502406e-06, 3.606817667517744820e-07, 7.047552722132689724e-06, 7.083551537296973240e-06, 6.043640760866242420e-08
1.632089986139999951e+02, 2.104471488839039842e-05, 1.673117738612850075e-05, -4.659281513850458109e-06, 2.486129492746079800e-07, 5.143364918351165215e-06, 5.176114372497920188e-06, 4.438543460293905176e-08
1.649662397520000070e+02, 1.529551595101282522e-05, 1.216215876654504953e-05, -3.380216770974645136e-06, 1.600284267750142278e-07, 3.563153739051297206e-06, 3.600434782279012695e-06, 3.006613150185399623e-08
1.667327761189999933e+02, 1.092231369894139236e-05, 8.683713746059001844e-06, -2.406229360899562253e-06, 9.639951301014013241e-08, 2.359574431703570055e-06, 2.401759984575630173e-06, 1.865726235900177613e-08
